@relation twitter_sentiment_analysis

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute fv1 numeric
@attribute fv2 numeric
@attribute fv3 numeric
@attribute fv4 numeric
@attribute fv5 numeric
@attribute fv6 numeric
@attribute fv7 numeric
@attribute fv8 numeric
@attribute fv9 numeric
@attribute fv10 numeric
@attribute fv11 numeric
@attribute fv12 numeric
@attribute fv13 numeric
@attribute fv14 numeric
@attribute fv15 numeric
@attribute fv16 numeric
@attribute fv17 numeric
@attribute fv18 numeric
@attribute fv19 numeric
@attribute fv20 numeric
@attribute fv21 numeric
@attribute fv22 numeric
@attribute fv23 numeric
@attribute fv24 numeric
@attribute fv25 numeric
@attribute fv26 numeric
@attribute fv27 numeric
@attribute fv28 numeric
@attribute fv29 numeric
@attribute fv30 numeric
@attribute fv31 numeric
@attribute fv32 numeric
@attribute fv33 numeric
@attribute fv34 numeric
@attribute fv35 numeric
@attribute fv36 numeric
@attribute fv37 numeric
@attribute fv38 numeric
@attribute fv39 numeric
@attribute fv40 numeric
@attribute fv41 numeric
@attribute fv42 numeric
@attribute fv43 numeric
@attribute fv44 numeric
@attribute fv45 numeric
@attribute fv46 numeric
@attribute fv47 numeric
@attribute fv48 numeric
@attribute fv49 numeric
@attribute fv50 numeric
@attribute fv51 numeric
@attribute fv52 numeric
@attribute fv53 numeric
@attribute fv54 numeric
@attribute fv55 numeric
@attribute fv56 numeric
@attribute fv57 numeric
@attribute fv58 numeric
@attribute fv59 numeric
@attribute fv60 numeric
@attribute fv61 numeric
@attribute fv62 numeric
@attribute fv63 numeric
@attribute fv64 numeric
@attribute fv65 numeric
@attribute fv66 numeric
@attribute fv67 numeric
@attribute fv68 numeric
@attribute fv69 numeric
@attribute fv70 numeric
@attribute fv71 numeric
@attribute fv72 numeric
@attribute fv73 numeric
@attribute fv74 numeric
@attribute fv75 numeric
@attribute fv76 numeric
@attribute fv77 numeric
@attribute fv78 numeric
@attribute fv79 numeric
@attribute fv80 numeric
@attribute fv81 numeric
@attribute fv82 numeric
@attribute fv83 numeric
@attribute fv84 numeric
@attribute fv85 numeric
@attribute fv86 numeric
@attribute fv87 numeric
@attribute fv88 numeric
@attribute fv89 numeric
@attribute fv90 numeric
@attribute fv91 numeric
@attribute fv92 numeric
@attribute fv93 numeric
@attribute fv94 numeric
@attribute fv95 numeric
@attribute fv96 numeric
@attribute fv97 numeric
@attribute fv98 numeric
@attribute fv99 numeric
@attribute fv100 numeric
@attribute fv101 numeric
@attribute fv102 numeric
@attribute fv103 numeric
@attribute fv104 numeric
@attribute fv105 numeric
@attribute fv106 numeric
@attribute fv107 numeric
@attribute fv108 numeric
@attribute fv109 numeric
@attribute fv110 numeric
@attribute fv111 numeric
@attribute fv112 numeric
@attribute fv113 numeric
@attribute fv114 numeric
@attribute fv115 numeric
@attribute fv116 numeric
@attribute fv117 numeric
@attribute fv118 numeric
@attribute fv119 numeric
@attribute fv120 numeric
@attribute fv121 numeric
@attribute fv122 numeric
@attribute fv123 numeric
@attribute fv124 numeric
@attribute fv125 numeric
@attribute fv126 numeric
@attribute fv127 numeric
@attribute fv128 numeric
@attribute fv129 numeric
@attribute fv130 numeric
@attribute fv131 numeric
@attribute fv132 numeric
@attribute fv133 numeric
@attribute fv134 numeric
@attribute fv135 numeric
@attribute fv136 numeric
@attribute fv137 numeric
@attribute fv138 numeric
@attribute fv139 numeric
@attribute fv140 numeric
@attribute fv141 numeric
@attribute fv142 numeric
@attribute fv143 numeric
@attribute fv144 numeric
@attribute fv145 numeric
@attribute fv146 numeric
@attribute fv147 numeric
@attribute fv148 numeric
@attribute fv149 numeric
@attribute fv150 numeric
@attribute fv151 numeric
@attribute fv152 numeric
@attribute fv153 numeric
@attribute fv154 numeric
@attribute fv155 numeric
@attribute fv156 numeric
@attribute fv157 numeric
@attribute fv158 numeric
@attribute fv159 numeric
@attribute fv160 numeric
@attribute fv161 numeric
@attribute fv162 numeric
@attribute fv163 numeric
@attribute fv164 numeric
@attribute fv165 numeric
@attribute fv166 numeric
@attribute fv167 numeric
@attribute fv168 numeric
@attribute fv169 numeric
@attribute fv170 numeric
@attribute fv171 numeric
@attribute fv172 numeric
@attribute fv173 numeric
@attribute fv174 numeric
@attribute fv175 numeric
@attribute fv176 numeric
@attribute fv177 numeric
@attribute fv178 numeric
@attribute fv179 numeric
@attribute fpv1 numeric
@attribute fpv2 numeric
@attribute fpv3 numeric
@attribute fpv4 numeric
@attribute fpv5 numeric
@attribute fpv6 numeric
@attribute fpv7 numeric
@attribute fpv8 numeric
@attribute fpv9 numeric
@attribute fpv10 numeric
@attribute fpv11 numeric
@attribute fpv12 numeric
@attribute fpv13 numeric
@attribute fpv14 numeric
@attribute fpv15 numeric
@attribute fpv16 numeric
@attribute fpv17 numeric
@attribute fpv18 numeric
@attribute fpv19 numeric
@attribute fpv20 numeric
@attribute fpv21 numeric
@attribute fpv22 numeric
@attribute fpv23 numeric
@attribute fpv24 numeric
@attribute fpv25 numeric
@attribute class {pos,neg,ntr}

@data
6,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.017839,-0.026365,-0.024095,-0.018351,0.020789,-0.016075,-0.014875,0.025767,0.000336,-0.006801,0.003814,-0.01099,0.00724,0.012515,0.018145,0.006253,0.003547,0.021569,0.018091,-0.005159,-0.012653,0.007292,-0.000911,0.015456,-0.00267,pos
17,1,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,-0.006498,-0.001961,-0.02484,0.024346,0.022125,-0.023931,-0.014563,-0.016877,-0.009571,-0.017258,-0.007305,0.029673,0.020369,0.005722,-0.020689,-0.002283,0.027998,0.006876,0.013932,0.019829,0.009852,0.006053,-0.023699,0.006042,0.017243,pos
8,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.006722,0.018522,0.016525,-0.010566,0.015862,-0.009943,-0.010159,0.019935,0.003798,-0.012086,-0.018898,0.003372,-0.001757,0.012138,0.015121,0.006688,-0.006773,-0.006737,0.016663,-0.014935,-0.013398,-0.008689,-0.014013,-0.014139,-0.003167,pos
13,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.009792,-0.01262,-0.019283,0.00474,0.007291,-0.011875,-0.014368,-0.010824,-0.015432,-0.009841,-0.008946,0.008964,-0.004833,0.004106,-0.004891,0.019728,0.00221,0.010593,0.005922,-0.012906,0.018824,0.000244,0.001618,0.006686,-0.011867,pos
18,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.018019,-0.011275,0.008313,-0.015553,0.017901,-0.012844,0.000692,-0.016128,0.002914,-0.000313,0.001454,0.018094,-0.01166,-0.008531,-0.017296,-0.002504,-0.008279,0.017554,0.011543,0.003573,-0.000403,-0.01598,-0.003572,0.006036,0.011315,pos
14,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-0.000561,-0.007695,-0.018782,0.008043,-0.018908,-0.008787,0.006015,0.019706,-0.013935,-0.007964,0.019445,0.012345,0.017484,0.015398,-0.010367,-0.008414,0.008472,0.011924,0.014704,0.013053,-0.017844,-0.017761,0.002783,-0.017628,0.011661,pos
4,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.026928,-0.045788,-0.002594,0.020845,0.020336,-0.016264,-0.01234,0.045807,-0.019291,0.002141,0.027847,0.000431,0.011982,0.001864,-0.052719,-0.002089,0.019792,0.013415,0.019528,-4.1e-05,0.024128,-0.008083,0.017649,-0.031298,-0.018051,neg
18,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.013987,-0.014803,-0.000961,-0.011755,-0.001493,0.015628,-0.002703,-0.008416,0.00216,0.0071,0.013547,0.006731,-0.007733,-0.006003,0.004097,0.020758,0.016626,-0.017614,0.001011,-0.01877,0.007609,-0.012884,0.006178,0.011591,-0.002549,neg
9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.002153,-0.026825,0.009512,-0.012313,0.032933,-0.022844,-0.017756,0.00946,-0.014563,-0.017266,-0.001917,-0.008806,-0.023759,-0.00941,-0.00808,0.0038,-0.008618,0.02256,0.006091,-0.023049,0.002936,0.022936,-0.012849,-7e-06,-0.002784,neg
28,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.007054,-0.004901,0.002058,0.010161,0.018612,0.003515,0.019223,-0.004869,0.007217,-0.004421,-0.012801,-0.0004,0.012319,0.005688,-0.011125,0.004015,0.002168,-6.5e-05,-0.001768,-0.001083,-0.006126,-0.006281,-0.003068,-0.014485,0.016029,neg
